HUC_12,PAGC,PFOR,NATMedium,RNS45,rBUFF45,WaterbodyArea,Ag_N_Leachate,WELL_DEPTH,TRANS,Pred_Viol_Prob_SW,Pred_Viol_Prob_GW,AWD_MGAL,pred_pOx_1,LONG,RO_0013,ET_0013,StrL,TD_N_T,AWD_REDN_T,TD_S_T,FP_PFOR,FP_PWETL,FP_M2WATER,FP_PSHRUB
120701030308.0,0.0,25.17309,83.79999996399243,0.078862406693082,12.7725592,25.931879384601224,6.44103517605,525.0022368431091,390.36581625659625,0.385929788664532,0.292027060778876,0.0,0.4690089285714286,-96.3491978,0.3286481516314162,0.8949792315834108,40670.8891317,9.540896113310612,1.938185408236674,6.695484142734872,19.5624657,34.803833,24456600.0,1.2113541
120800010105.0,0.0184771,0.0,92.959999966424,0.2569182402550745,0.0,0.013407199157847,0.296683713585,116.01454725020972,468.9333326230414,0.7959,0.8394,0.0,0.763323717948718,-103.3500784,0.2758983254667828,0.8665852333005533,0.0,4.835510214679382,1.875790287460821,2.15155458692388,0.0,0.0,0.0,96.7648315
120800010301.0,46.5423851,0.0,41.91999999067911,-0.0183221681544798,0.0,0.086941938240546,16.3280463297,228.2745802935432,469.376627767224,0.7406,0.9405,3.701987,0.8697999999999999,-102.7771282,0.2762353759066234,0.8677255530239887,0.0,5.14304143710583,1.770319218818168,2.168765602708941,0.0,0.3052503,0.0,84.3711853
120800010408.0,74.7098694,0.0,20.980000125408143,0.4058467515725987,0.0,0.215906030526931,28.0463449565,161.43825697898865,447.6457998462221,0.7981,0.9192,4.339223,0.839765625,-102.3699524,0.2801662328787464,0.864388309209066,13616.476315,4.583247248237812,1.386922872289331,1.916381338851921,0.0,0.1303498,0.0,81.0123825
120800020803.0,32.3759766,0.0866366,81.8900001086543,0.058564791560724,8.8216276,0.21121200108429,0.753191737622,179.76460965474448,670.02814774836,0.911041909642514,0.87323628354703,1.385276,0.715157196969697,-101.351792,0.2663480072298798,0.8629598364050761,39179.3961538,4.130866175903193,0.93413424820251,2.465234626055778,0.3319074,1.5784039,54900.0,74.7234116
120800030602.0,0.0,0.0,99.98000016393104,0.067729179238778,1.1285236,1.223615346063619,0.0,282.8620801653181,362.53241285359184,0.66,0.7006,0.0,0.7277941176470588,-103.7382622,0.2653462304659677,0.8553679519696287,0.0,4.112305402127735,1.15262854942188,2.086504773689338,0.0,0.4625274,5400.0,82.4553146
120800030607.0,0.0,0.0,99.92000005805907,0.038293419447099,0.3995965,1.301659058235612,0.0,220.07630008324645,367.3417397951965,0.7656,0.7772,0.0,0.7210131578947369,-103.6085011,0.2648128781549017,0.8562248201167065,0.0,3.960604767465731,1.251671801967069,2.131894525383048,0.0,0.7953476,0.0,86.2225266
120800030903.0,68.1263809,0.0,38.200000030876986,-0.5715221976716504,0.0,0.017380118715735,147.624384112,197.4430640566665,441.3080740542933,0.8509,0.8689,13.73559,0.7580398230088496,-102.8864713,0.2817288554067578,0.8639406034027005,0.0,3.569525296569668,1.20577422332908,1.635833067087626,0.0,0.0,0.0,58.77425
120800040201.0,1.4940766,0.0,97.33000010949652,0.074433814248465,1.2778782,0.08817904962376,0.607449474378,99.52500665096836,426.57882706938585,0.6573,0.7315,0.53746,0.7426755725190839,-103.4700452,0.2722975579923611,0.8399956241931797,8176.982530559999,4.434804983740757,1.500259167934987,2.132940168375229,0.0,0.0738156,0.0,71.9299393
120800040203.0,65.6025772,0.0,35.52000245176427,0.4059084202150217,0.0,0.015995908703844,166.779417044,167.49320159087307,459.89737212605627,0.8239,0.959,12.98593,0.846081081081081,-102.9968821,0.2841975707375247,0.8655222546635002,0.0,4.422859402617402,1.731166938836708,1.976445298024013,0.0,0.0,8100.0,64.2991943
120800040502.0,35.4961357,0.0,53.589999998205606,0.2043239961115274,0.0,0.135536860795279,123.998891549,139.875890951241,490.6121835593328,0.8197,0.9553,14.234064,0.8333495575221238,-103.0396057,0.2757410170718932,0.8641251406846796,0.0,4.164026590261812,1.691939692915322,1.910434208878795,0.0,0.0,0.0,87.2927094
120800040503.0,17.8173714,0.0,48.08000007146244,0.446599411219463,0.8759015,0.124826702036101,98.7288635423,152.87890646491252,466.4121446200497,0.8197,0.9553,3.038724,0.8476866197183098,-102.8985917,0.2709346761046785,0.8221019217016715,6919.64641254,3.970274825345319,1.463457981512605,1.957775836379773,0.0,0.3024033,4500.0,86.4236832
120800040504.0,35.1449776,0.0,13.590000007525925,-0.2664507078384769,0.0,0.030502431341714,111.532621923,214.78180812781963,433.4098868989923,0.843,0.979,5.863992,0.8366549295774648,-102.9360013,0.2781037577469306,0.8406482366150715,0.0,3.951837953256221,1.426661376965426,1.855948968482851,0.0,0.0,0.0,84.1258774
